x,y,z,t,u_true,u_pred
4.687500000000000000e-01,9.375000000000000000e-02,4.687500000000000000e-01,0.000000000000000000e+00,4.660706520080566406e-01,-4.831672413274645805e-05
9.687500000000000000e-01,5.937500000000000000e-01,9.687500000000000000e-01,0.000000000000000000e+00,1.490420103073120117e-02,1.671692007221281528e-04
7.187500000000000000e-01,3.437500000000000000e-01,7.187500000000000000e-01,0.000000000000000000e+00,8.543204069137573242e-01,-6.884220056235790253e-07
2.187500000000000000e-01,8.437500000000000000e-01,2.187500000000000000e-01,0.000000000000000000e+00,3.075557947158813477e-01,1.419808831997215748e-04
1.562500000000000000e-01,1.562500000000000000e-01,5.312500000000000000e-01,0.000000000000000000e+00,3.585065305233001709e-01,1.476847683079540730e-04
6.562500000000000000e-01,6.562500000000000000e-01,3.125000000000000000e-02,0.000000000000000000e+00,1.235895827412605286e-01,1.774209667928516865e-04
9.062500000000000000e-01,4.062500000000000000e-01,2.812500000000000000e-01,0.000000000000000000e+00,3.481084704399108887e-01,1.401438494212925434e-04
4.062500000000000000e-01,9.062500000000000000e-01,7.812500000000000000e-01,0.000000000000000000e+00,2.856852710247039795e-01,1.093715545721352100e-04
2.812500000000000000e-01,2.812500000000000000e-01,1.562500000000000000e-01,0.000000000000000000e+00,4.566437304019927979e-01,3.495005075819790363e-04
7.812500000000000000e-01,7.812500000000000000e-01,6.562500000000000000e-01,0.000000000000000000e+00,5.753964185714721680e-01,2.296325401403009892e-04
5.312500000000000000e-01,3.125000000000000000e-02,9.062500000000000000e-01,0.000000000000000000e+00,4.590395838022232056e-02,1.453355071134865284e-04
3.125000000000000000e-02,5.312500000000000000e-01,4.062500000000000000e-01,0.000000000000000000e+00,1.513250470161437988e-01,1.083866809494793415e-04
4.687500000000000000e-02,2.656250000000000000e-01,6.093750000000000000e-01,0.000000000000000000e+00,1.659475117921829224e-01,3.689660807140171528e-04
5.468750000000000000e-01,7.656250000000000000e-01,1.093750000000000000e-01,0.000000000000000000e+00,3.627989888191223145e-01,3.329786704853177071e-05
7.968750000000000000e-01,1.562500000000000000e-02,3.593750000000000000e-01,0.000000000000000000e+00,4.283571615815162659e-02,3.165368107147514820e-04
2.968750000000000000e-01,5.156250000000000000e-01,8.593750000000000000e-01,0.000000000000000000e+00,5.560535788536071777e-01,8.989899652078747749e-05
4.218750000000000000e-01,1.406250000000000000e-01,2.343750000000000000e-01,0.000000000000000000e+00,4.515253901481628418e-01,2.476398949511349201e-04
9.218750000000000000e-01,6.406250000000000000e-01,7.343750000000000000e-01,0.000000000000000000e+00,2.638418972492218018e-01,1.755173434503376484e-04
6.718750000000000000e-01,3.906250000000000000e-01,9.843750000000000000e-01,0.000000000000000000e+00,6.423985958099365234e-02,-3.026629565283656120e-05
1.718750000000000000e-01,8.906250000000000000e-01,4.843750000000000000e-01,0.000000000000000000e+00,2.804365456104278564e-01,-1.294416142627596855e-05
2.343750000000000000e-01,7.812500000000000000e-02,7.968750000000000000e-01,0.000000000000000000e+00,1.575804352760314941e-01,9.333580965176224709e-05
7.343750000000000000e-01,5.781250000000000000e-01,2.968750000000000000e-01,0.000000000000000000e+00,9.358867406845092773e-01,1.184933935292065144e-04
9.843750000000000000e-01,3.281250000000000000e-01,4.687500000000000000e-02,0.000000000000000000e+00,1.001115702092647552e-02,1.430470147170126438e-04
4.843750000000000000e-01,8.281250000000000000e-01,5.468750000000000000e-01,0.000000000000000000e+00,8.234183192253112793e-01,-1.140611129812896252e-04
3.593750000000000000e-01,4.531250000000000000e-01,4.218750000000000000e-01,0.000000000000000000e+00,1.406186819076538086e+00,3.286402788944542408e-04
8.593750000000000000e-01,9.531250000000000000e-01,9.218750000000000000e-01,0.000000000000000000e+00,2.471171319484710693e-02,3.159002517350018024e-04
6.093750000000000000e-01,2.031250000000000000e-01,6.718750000000000000e-01,0.000000000000000000e+00,7.798981070518493652e-01,1.509322901256382465e-04
1.093750000000000000e-01,7.031250000000000000e-01,1.718750000000000000e-01,0.000000000000000000e+00,2.255204021930694580e-01,2.900540130212903023e-04
7.812500000000000000e-02,2.343750000000000000e-01,2.656250000000000000e-01,0.000000000000000000e+00,1.960039734840393066e-01,3.460746374912559986e-04
5.781250000000000000e-01,7.343750000000000000e-01,7.656250000000000000e-01,0.000000000000000000e+00,7.824913859367370605e-01,3.022782038897275925e-04
8.281250000000000000e-01,4.843750000000000000e-01,5.156250000000000000e-01,0.000000000000000000e+00,8.314253687858581543e-01,2.144410391338169575e-04
3.281250000000000000e-01,9.843750000000000000e-01,1.562500000000000000e-02,0.000000000000000000e+00,3.347799880430102348e-03,6.379385013133287430e-06
4.531250000000000000e-01,3.593750000000000000e-01,8.906250000000000000e-01,0.000000000000000000e+00,4.883656799793243408e-01,1.143336412496864796e-04
9.531250000000000000e-01,8.593750000000000000e-01,3.906250000000000000e-01,0.000000000000000000e+00,9.575750678777694702e-02,2.980132703669369221e-04
7.031250000000000000e-01,1.093750000000000000e-01,1.406250000000000000e-01,0.000000000000000000e+00,1.875547170639038086e-01,1.484680105932056904e-04
2.031250000000000000e-01,6.093750000000000000e-01,6.406250000000000000e-01,0.000000000000000000e+00,8.219611644744873047e-01,1.262038131244480610e-04
1.406250000000000000e-01,4.218750000000000000e-01,7.812500000000000000e-02,0.000000000000000000e+00,1.633687317371368408e-01,3.006631741300225258e-04
6.406250000000000000e-01,9.218750000000000000e-01,5.781250000000000000e-01,0.000000000000000000e+00,3.454139828681945801e-01,3.295411006547510624e-04
8.906250000000000000e-01,1.718750000000000000e-01,8.281250000000000000e-01,0.000000000000000000e+00,1.443470716476440430e-01,2.874299534596502781e-04
3.906250000000000000e-01,6.718750000000000000e-01,3.281250000000000000e-01,0.000000000000000000e+00,1.122950792312622070e+00,-1.841091434471309185e-04
2.656250000000000000e-01,4.687500000000000000e-02,7.031250000000000000e-01,0.000000000000000000e+00,1.415656358003616333e-01,2.458303351886570454e-04
7.656250000000000000e-01,5.468750000000000000e-01,2.031250000000000000e-01,0.000000000000000000e+00,6.415125727653503418e-01,2.680002944543957710e-05
5.156250000000000000e-01,2.968750000000000000e-01,4.531250000000000000e-01,0.000000000000000000e+00,1.286466240882873535e+00,2.448543091304600239e-04
1.562500000000000000e-02,7.968750000000000000e-01,9.531250000000000000e-01,0.000000000000000000e+00,6.952846422791481018e-03,-1.560425153002142906e-05
2.343750000000000000e-02,3.984375000000000000e-01,4.453125000000000000e-01,0.000000000000000000e+00,1.115720495581626892e-01,6.932794349268078804e-05
5.234375000000000000e-01,8.984375000000000000e-01,9.453125000000000000e-01,0.000000000000000000e+00,8.670218288898468018e-02,-1.112068421207368374e-04
7.734375000000000000e-01,1.484375000000000000e-01,6.953125000000000000e-01,0.000000000000000000e+00,3.892408609390258789e-01,1.016369205899536610e-04
2.734375000000000000e-01,6.484375000000000000e-01,1.953125000000000000e-01,0.000000000000000000e+00,6.313560605049133301e-01,1.758009311743080616e-04
3.984375000000000000e-01,2.343750000000000000e-02,8.203125000000000000e-01,0.000000000000000000e+00,6.058268994092941284e-02,2.213970874436199665e-04
8.984375000000000000e-01,5.234375000000000000e-01,3.203125000000000000e-01,0.000000000000000000e+00,4.284620583057403564e-01,2.642016625031828880e-05
6.484375000000000000e-01,2.734375000000000000e-01,7.031250000000000000e-02,0.000000000000000000e+00,2.402377724647521973e-01,1.766135101206600666e-04
1.484375000000000000e-01,7.734375000000000000e-01,5.703125000000000000e-01,0.000000000000000000e+00,4.645183384418487549e-01,-6.148655666038393974e-05
2.109375000000000000e-01,2.109375000000000000e-01,1.328125000000000000e-01,0.000000000000000000e+00,2.486630678176879883e-01,2.517237444408237934e-04
