x,y,t,u_true,u_pred
8.437500000000000000e-01,0.000000000000000000e+00,3.750000000000000000e-01,-0.000000000000000000e+00,-1.213179901242256165e-03
1.562500000000000000e-01,1.000000000000000000e+00,1.777343750000000000e-01,1.752929912335332574e-09,5.554083734750747681e-03
0.000000000000000000e+00,1.562500000000000000e-01,3.710937500000000000e-02,-0.000000000000000000e+00,4.165857098996639252e-03
1.000000000000000000e+00,8.437500000000000000e-01,4.375000000000000000e-01,-3.428822381579266221e-08,-3.091664984822273254e-04
1.000000000000000000e+00,3.437500000000000000e-01,5.039062500000000000e-01,7.110904931550976471e-08,-2.276739105582237244e-04
0.000000000000000000e+00,6.562500000000000000e-01,8.320312500000000000e-01,0.000000000000000000e+00,-2.349031157791614532e-03
6.562500000000000000e-01,1.000000000000000000e+00,9.921875000000000000e-01,-7.671918211826778133e-08,-1.151642762124538422e-03
3.437500000000000000e-01,0.000000000000000000e+00,9.277343750000000000e-01,-0.000000000000000000e+00,-4.085125401616096497e-04
4.687500000000000000e-01,0.000000000000000000e+00,7.382812500000000000e-01,0.000000000000000000e+00,5.192803218960762024e-04
5.312500000000000000e-01,1.000000000000000000e+00,2.695312500000000000e-01,-7.222487141689271084e-08,1.542998477816581726e-03
0.000000000000000000e+00,5.312500000000000000e-01,1.562500000000000000e-02,0.000000000000000000e+00,-2.712209708988666534e-03
1.000000000000000000e+00,4.687500000000000000e-01,3.593750000000000000e-01,8.410784602119747433e-08,2.595592755824327469e-03
1.000000000000000000e+00,9.687500000000000000e-01,4.062500000000000000e-01,-5.967910610138460470e-09,-1.682185567915439606e-03
0.000000000000000000e+00,3.125000000000000000e-02,1.328125000000000000e-01,0.000000000000000000e+00,4.051047377288341522e-03
3.125000000000000000e-02,1.000000000000000000e+00,8.203125000000000000e-02,7.507751753621505486e-09,-1.182231120765209198e-03
9.687500000000000000e-01,0.000000000000000000e+00,4.687500000000000000e-02,-0.000000000000000000e+00,-1.207770686596632004e-02
7.187500000000000000e-01,0.000000000000000000e+00,1.289062500000000000e-01,0.000000000000000000e+00,-7.777381688356399536e-05
2.812500000000000000e-01,1.000000000000000000e+00,9.667968750000000000e-01,-3.486922750539633853e-08,5.789427086710929871e-04
0.000000000000000000e+00,2.812500000000000000e-01,8.125000000000000000e-01,-0.000000000000000000e+00,6.735976785421371460e-05
