x,t,u_true,u_pred
9.531250000000000000e-01,0.000000000000000000e+00,1.467303335666656494e-01,1.467579901218414307e-01
7.031250000000000000e-01,0.000000000000000000e+00,8.032074570655822754e-01,8.032049536705017090e-01
2.031250000000000000e-01,0.000000000000000000e+00,5.956993103027343750e-01,5.956996679306030273e-01
1.406250000000000000e-01,0.000000000000000000e+00,4.275550842285156250e-01,4.275596737861633301e-01
6.406250000000000000e-01,0.000000000000000000e+00,9.039893150329589844e-01,9.039686322212219238e-01
8.906250000000000000e-01,0.000000000000000000e+00,3.368898034095764160e-01,3.369455933570861816e-01
3.906250000000000000e-01,0.000000000000000000e+00,9.415440559387207031e-01,9.415488243103027344e-01
2.656250000000000000e-01,0.000000000000000000e+00,7.409511804580688477e-01,7.409669756889343262e-01
7.656250000000000000e-01,0.000000000000000000e+00,6.715588569641113281e-01,6.715803146362304688e-01
5.156250000000000000e-01,0.000000000000000000e+00,9.987954497337341309e-01,9.987551569938659668e-01
1.562500000000000000e-02,0.000000000000000000e+00,4.906767606735229492e-02,4.913850873708724976e-02
2.343750000000000000e-02,0.000000000000000000e+00,7.356456667184829712e-02,7.363083213567733765e-02
5.234375000000000000e-01,0.000000000000000000e+00,9.972904324531555176e-01,9.972495436668395996e-01
7.734375000000000000e-01,0.000000000000000000e+00,6.531728506088256836e-01,6.531978249549865723e-01
2.734375000000000000e-01,0.000000000000000000e+00,7.572088837623596191e-01,7.572264671325683594e-01
3.984375000000000000e-01,0.000000000000000000e+00,9.495282173156738281e-01,9.495297670364379883e-01
8.984375000000000000e-01,0.000000000000000000e+00,3.136816024780273438e-01,3.137352466583251953e-01
6.484375000000000000e-01,0.000000000000000000e+00,8.932242989540100098e-01,8.932058215141296387e-01
1.484375000000000000e-01,0.000000000000000000e+00,4.496113359928131104e-01,4.496142268180847168e-01
2.109375000000000000e-01,0.000000000000000000e+00,6.152316331863403320e-01,6.152334809303283691e-01
7.109375000000000000e-01,0.000000000000000000e+00,7.883463501930236816e-01,7.883462309837341309e-01
9.609375000000000000e-01,0.000000000000000000e+00,1.224106922745704651e-01,1.224329099059104919e-01
4.609375000000000000e-01,0.000000000000000000e+00,9.924795627593994141e-01,9.924518465995788574e-01
3.359375000000000000e-01,0.000000000000000000e+00,8.700870275497436523e-01,8.701089024543762207e-01
8.359375000000000000e-01,0.000000000000000000e+00,4.928981661796569824e-01,4.929497539997100830e-01
5.859375000000000000e-01,0.000000000000000000e+00,9.637760519981384277e-01,9.637421369552612305e-01
8.593750000000000000e-02,0.000000000000000000e+00,2.667127847671508789e-01,2.667419314384460449e-01
1.171875000000000000e-01,0.000000000000000000e+00,3.598950505256652832e-01,3.599083721637725830e-01
6.171875000000000000e-01,0.000000000000000000e+00,9.329928159713745117e-01,9.329662919044494629e-01
8.671875000000000000e-01,0.000000000000000000e+00,4.052412211894989014e-01,4.052984714508056641e-01
3.671875000000000000e-01,0.000000000000000000e+00,9.142097830772399902e-01,9.142235517501831055e-01
4.921875000000000000e-01,0.000000000000000000e+00,9.996988177299499512e-01,9.996616244316101074e-01
9.921875000000000000e-01,0.000000000000000000e+00,2.454121038317680359e-02,2.453777566552162170e-02
7.421875000000000000e-01,0.000000000000000000e+00,7.242469787597656250e-01,7.242582440376281738e-01
2.421875000000000000e-01,0.000000000000000000e+00,6.895405650138854980e-01,6.895500421524047852e-01
1.796875000000000000e-01,0.000000000000000000e+00,5.349976420402526855e-01,5.349968075752258301e-01
6.796875000000000000e-01,0.000000000000000000e+00,8.448535203933715820e-01,8.448434472084045410e-01
9.296875000000000000e-01,0.000000000000000000e+00,2.191010713577270508e-01,2.191418856382369995e-01
4.296875000000000000e-01,0.000000000000000000e+00,9.757021069526672363e-01,9.756882190704345703e-01
3.046875000000000000e-01,0.000000000000000000e+00,8.175848126411437988e-01,8.176075816154479980e-01
8.046875000000000000e-01,0.000000000000000000e+00,5.758082270622253418e-01,5.758481025695800781e-01
5.546875000000000000e-01,0.000000000000000000e+00,9.852776527404785156e-01,9.852377772331237793e-01
5.468750000000000000e-02,0.000000000000000000e+00,1.709619015455245972e-01,1.710086166858673096e-01
3.906250000000000000e-02,0.000000000000000000e+00,1.224106773734092712e-01,1.224673911929130554e-01
5.390625000000000000e-01,0.000000000000000000e+00,9.924795031547546387e-01,9.924381375312805176e-01
7.890625000000000000e-01,0.000000000000000000e+00,6.152315139770507812e-01,6.152637600898742676e-01
2.890625000000000000e-01,0.000000000000000000e+00,7.883464694023132324e-01,7.883676290512084961e-01
4.140625000000000000e-01,0.000000000000000000e+00,9.637760519981384277e-01,9.637697339057922363e-01
9.140625000000000000e-01,0.000000000000000000e+00,2.667127251625061035e-01,2.667612433433532715e-01
6.640625000000000000e-01,0.000000000000000000e+00,8.700870275497436523e-01,8.700723052024841309e-01
1.640625000000000000e-01,0.000000000000000000e+00,4.928982257843017578e-01,4.928980171680450439e-01
2.265625000000000000e-01,0.000000000000000000e+00,6.531728506088256836e-01,6.531781554222106934e-01
7.265625000000000000e-01,0.000000000000000000e+00,7.572088241577148438e-01,7.572135329246520996e-01
9.765625000000000000e-01,0.000000000000000000e+00,7.356444746255874634e-02,7.357488572597503662e-02
4.765625000000000000e-01,0.000000000000000000e+00,9.972904324531555176e-01,9.972571730613708496e-01
3.515625000000000000e-01,0.000000000000000000e+00,8.932242989540100098e-01,8.932430744171142578e-01
8.515625000000000000e-01,0.000000000000000000e+00,4.496113657951354980e-01,4.496662318706512451e-01
6.015625000000000000e-01,0.000000000000000000e+00,9.495282173156738281e-01,9.494972825050354004e-01
1.015625000000000000e-01,0.000000000000000000e+00,3.136817514896392822e-01,3.137023448944091797e-01
7.031250000000000000e-02,0.000000000000000000e+00,2.191012352705001831e-01,2.191390544176101685e-01
5.703125000000000000e-01,0.000000000000000000e+00,9.757021069526672363e-01,9.756648540496826172e-01
8.203125000000000000e-01,0.000000000000000000e+00,5.349975228309631348e-01,5.350439548492431641e-01
3.203125000000000000e-01,0.000000000000000000e+00,8.448535799980163574e-01,8.448770046234130859e-01
4.453125000000000000e-01,0.000000000000000000e+00,9.852776527404785156e-01,9.852563738822937012e-01
9.453125000000000000e-01,0.000000000000000000e+00,1.709618121385574341e-01,1.709941923618316650e-01
6.953125000000000000e-01,0.000000000000000000e+00,8.175848126411437988e-01,8.175792694091796875e-01
1.953125000000000000e-01,0.000000000000000000e+00,5.758082270622253418e-01,5.758078694343566895e-01
1.328125000000000000e-01,0.000000000000000000e+00,4.052413403987884521e-01,4.052487909793853760e-01
6.328125000000000000e-01,0.000000000000000000e+00,9.142097234725952148e-01,9.141875505447387695e-01
8.828125000000000000e-01,0.000000000000000000e+00,3.598950505256652832e-01,3.599517345428466797e-01
3.828125000000000000e-01,0.000000000000000000e+00,9.329928159713745117e-01,9.330011010169982910e-01
2.578125000000000000e-01,0.000000000000000000e+00,7.242471575736999512e-01,7.242603302001953125e-01
7.578125000000000000e-01,0.000000000000000000e+00,6.895405054092407227e-01,6.895583868026733398e-01
5.078125000000000000e-01,0.000000000000000000e+00,9.996988177299499512e-01,9.996587634086608887e-01
7.812500000000000000e-03,0.000000000000000000e+00,2.454122900962829590e-02,2.461682632565498352e-02
1.171875000000000000e-02,0.000000000000000000e+00,3.680722415447235107e-02,3.688053414225578308e-02
5.117187500000000000e-01,0.000000000000000000e+00,9.993223547935485840e-01,9.992821812629699707e-01
7.617187500000000000e-01,0.000000000000000000e+00,6.806009411811828613e-01,6.806209683418273926e-01
2.617187500000000000e-01,0.000000000000000000e+00,7.326542735099792480e-01,7.326694130897521973e-01
3.867187500000000000e-01,0.000000000000000000e+00,9.373390078544616699e-01,9.373455643653869629e-01
8.867187500000000000e-01,0.000000000000000000e+00,3.484186530113220215e-01,3.484746813774108887e-01
6.367187500000000000e-01,0.000000000000000000e+00,9.091680049896240234e-01,9.091466069221496582e-01
1.367187500000000000e-01,0.000000000000000000e+00,4.164295792579650879e-01,4.164353907108306885e-01
1.992187500000000000e-01,0.000000000000000000e+00,5.857979059219360352e-01,5.857980251312255859e-01
6.992187500000000000e-01,0.000000000000000000e+00,8.104571700096130371e-01,8.104529380798339844e-01
9.492187500000000000e-01,0.000000000000000000e+00,1.588580310344696045e-01,1.588876396417617798e-01
4.492187500000000000e-01,0.000000000000000000e+00,9.873014092445373535e-01,9.872785210609436035e-01
3.242187500000000000e-01,0.000000000000000000e+00,8.513551950454711914e-01,8.513782620429992676e-01
8.242187500000000000e-01,0.000000000000000000e+00,5.245895385742187500e-01,5.246376991271972656e-01
5.742187500000000000e-01,0.000000000000000000e+00,9.729399085044860840e-01,9.729035496711730957e-01
7.421875000000000000e-02,0.000000000000000000e+00,2.310581207275390625e-01,2.310936152935028076e-01
1.054687500000000000e-01,0.000000000000000000e+00,3.253103196620941162e-01,3.253289461135864258e-01
6.054687500000000000e-01,0.000000000000000000e+00,9.456073045730590820e-01,9.455776810646057129e-01
8.554687500000000000e-01,0.000000000000000000e+00,4.386162459850311279e-01,4.386722445487976074e-01
3.554687500000000000e-01,0.000000000000000000e+00,8.986744880676269531e-01,8.986917734146118164e-01
4.804687500000000000e-01,0.000000000000000000e+00,9.981181025505065918e-01,9.980838894844055176e-01
9.804687500000000000e-01,0.000000000000000000e+00,6.132058799266815186e-02,6.132867932319641113e-02
7.304687500000000000e-01,0.000000000000000000e+00,7.491363286972045898e-01,7.491431236267089844e-01
2.304687500000000000e-01,0.000000000000000000e+00,6.624158024787902832e-01,6.624221205711364746e-01
1.679687500000000000e-01,0.000000000000000000e+00,5.035383701324462891e-01,5.035380721092224121e-01
6.679687500000000000e-01,0.000000000000000000e+00,8.639728426933288574e-01,8.639600276947021484e-01
